YearMo;7169;7786;7766;7712;7660;7625;7558;7486;7445;7170;7169_weight_acc;7786_weight_acc;7766_weight_acc;7712_weight_acc;7660_weight_acc;7625_weight_acc;7558_weight_acc;7486_weight_acc;7445_weight_acc;7170_weight_acc
201412;0,780000000000;0,000000000000;0,003235750000;0,075325600000;0,053251940000;0,254287080000;0,055053650000;0,000000000000;0,075325980000;0,268484760000;1,192770796880;1,000373777381;1,010670278558;1,027257645639;1,021827772458;1,014069499358;1,009562536776;1,005904463081;1,027145934243;1,063168709323
201501;1,240000000000;0,006293700000;0,014228070000;0,180625200000;0,036143680000;0,339225270000;-0,044726490000;-0,012570600000;0,356398240000;0,368999520000;1,207561154762;1,000436737905;1,010814077433;1,029113131816;1,022197098619;1,017509479355;1,009110994889;1,005778014854;1,030806664274;1,067091796758
201502;1,220000000000;-0,000829980000;0,267328320000;0,092840440000;0,067146600000;0,410115200000;-0,038164800000;0,038481840000;0,181743400000;0,202455450000;1,222293400850;1,000428434480;1,013516269724;1,030068564976;1,022883469216;1,021682440392;1,008725869696;1,006165056741;1,032680087354;1,069252182257
201503;1,320000000000;-0,047551880000;0,035668500000;0,038729880000;0,076743180000;0,086574300000;0,036853170000;0,015428000000;0,788046010000;0,291244590000;1,238427673741;0,999952711952;1,013877775775;1,030467509295;1,023668462518;1,022566954813;1,009097617155;1,006320287886;1,040818081578;1,072366321391
201504;0,710000000000;0,012395660000;0,009931740000;0,054335400000;0,145904880000;0,020523360000;0,056439110000;0,028815600000;0,143954700000;0,241142000000;1,247220510225;1,000076662690;1,013978471480;1,031027417938;1,025162044760;1,022776819910;1,009667142869;1,006610265115;1,042316388125;1,074952246986
201505;0,740000000000;0,006770930000;0,002823960000;0,078681980000;0,122322200000;-0,053786880000;0,037900520000;0,015709320000;0,189225660000;0,341447840000;1,256449942000;1,000144377181;1,014007105826;1,031838650725;1,026416045526;1,022226700169;1,010049811967;1,006768396742;1,044288718190;1,078622648214
201506;0,790000000000;0,013466720000;0,009350000000;0,173335830000;0,101557820000;0,128517200000;0,035980300000;0,031294800000;0,134036160000;0,157970610000;1,266375896542;1,000279063824;1,014101915491;1,033627196814;1,027458451286;1,023540437302;1,010413230919;1,007083462899;1,045688442687;1,080326554991
201507;0,620000000000;0,011831400000;0,000000000000;0,065415180000;0,093865800000;0,027518250000;-0,019189000000;0,037350660000;0,237092640000;0,162714500000;1,274227427101;1,000397410841;1,014101915491;1,034303345905;1,028422883381;1,023822097718;1,010219342724;1,007459615219;1,048167693022;1,082084402943
201508;0,220000000000;0,005504240000;0,037881540000;0,080408250000;0,069432560000;-0,049294170000;0,012267600000;0,016109060000;0,045637590000;-0,002504700000;1,277030727440;1,000452475115;1,014486072913;1,035135011125;1,029136943717;1,023317413113;1,010343272393;1,007621907493;1,048646051496;1,082057299975
201509;0,540000000000;0,000392930000;0,011620500000;0,035572680000;0,061843100000;0,128990670000;0,030659500000;0,008284760000;0,204735700000;0,059975520000;1,283926693368;1,000456406193;1,014603961267;1,035503236391;1,029773393906;1,024637397100;1,010653038588;1,007705386549;1,050793004330;1,082706269468
201510;0,820000000000;0,015241980000;0,004634200000;0,061305780000;0,061850250000;0,312967760000;0,041073010000;0,016948620000;0,118998000000;0,191873220000;1,294454892254;1,000608895559;1,014650980044;1,036138059727;1,030410311325;1,027844181810;1,011068144212;1,007876178706;1,052043426989;1,084783692850
201511;1,010000000000;0,040084510000;0,010120880000;0,055787160000;0,071775360000;0,198248040000;0,048358270000;0,013414010000;0,120501800000;0,455750520000;1,307528886666;1,001009984731;1,014753671652;1,036716091724;1,031149892035;1,029881862755;1,011557079275;1,008011375317;1,053311158256;1,089727600171
201512;0,960000000000;0,016736890000;0,010042560000;0,060857760000;0,078218700000;0,249811600000;0,070242000000;0,019766200000;0,077492520000;0,376557000000;1,320081163978;1,001177522671;1,014855578899;1,037347013915;1,031956444076;1,032454627114;1,012267617198;1,008210620862;1,054127395616;1,093831045731
201601;1,270000000000;0,008518620000;0,014047650000;0,126581490000;0,090276930000;0,326449950000;-0,014685600000;0,019242450000;0,127498050000;0,575353440000;1,336846194760;1,001262809180;1,014998142258;1,038660103221;1,032888062672;1,035825074728;1,012118959625;1,008404625286;1,055471387490;1,100124440280
